GENE	REACTION	SUBSTRATES	PRODUCTS
fucP	TRANS-RXN-20-alpha	PER-alpha-L-fucopyranose, PER-PROTON	alpha-L-fucopyranose, PROTON
fucP	TRANS-RXN-20-beta	PER-beta-L-fucopyranose, PER-PROTON	beta-L-fucopyranose, PROTON

fucP	RXN0-7221-alpha-af	PER-alpha-D-arabinofuranose, PER-PROTON	alpha-D-arabinofuranose, PROTON
fucP	RXN0-7221-beta-af	PER-beta-D-arabinofuranose, PER-PROTON	beta-D-arabinofuranose, PROTON
fucP	RXN0-7221-alpha-ap	PER-alpha-D-arabinopyranose, PER-PROTON	alpha-D-arabinopyranose, PROTON
fucP	RXN0-7221-beta-ap	PER-beta-D-arabinopyranose, PER-PROTON	beta-D-arabinopyranose, PROTON

fucP	RXN0-7222-alpha	PER-alpha-L-galactopyranose, PER-PROTON	alpha-L-galactopyranose, PROTON
fucP	RXN0-7222-beta	PER-beta-L-galactopyranose, PER-PROTON	beta-L-galactopyranose, PROTON

fucU	RXN0-5298	alpha-L-fucopyranose	beta-L-fucopyranose

fucI	FUCISOM-RXN	alpha-L-fucopyranose	L-FUCULOSE
fucI	DARABISOM-RXN-alpha	alpha-D-arabinopyranose	D-RIBULOSE
fucI	DARABISOM-RXN-beta	beta-D-arabinopyranose	D-RIBULOSE

fucK	FUCULOKIN-RXN	L-FUCULOSE, ATP	PROTON, FUCULOSE-1P, ADP
fucK	DARABKIN-RXN	D-RIBULOSE, ATP	PROTON, D-RIBULOSE-1-P, ADP

fucA	FUCPALDOL-RXN	FUCULOSE-1P	LACTALD, DIHYDROXY-ACETONE-PHOSPHATE
fucA	DARABALDOL-RXN	D-RIBULOSE-1-P	GLYCOLALDEHYDE, DIHYDROXY-ACETONE-PHOSPHATE

fucO	LACTALDREDUCT-RXN	PROPANE-1-2-DIOL, NAD	LACTALD, NADH, PROTON
fucO	GLYCOLALDREDUCT-RXN	NAD, GLYCOL	PROTON, GLYCOLALDEHYDE, NADH

aldA	LACTALDDEHYDROG-RXN	WATER, NAD, LACTALD	PROTON, NADH, L-LACTATE
aldA	GLYCOLALD-DEHYDROG-RXN	WATER, NAD, GLYCOLALDEHYDE	PROTON, NADH, GLYCOLLATE

lldD	L-LACTDEHYDROGFMN-RXN	ETR-Quinones, L-LACTATE	ETR-Quinols, PYRUVATE
lldD	RXN0-7227	ETR-Quinones, CPD-3564	ETR-Quinols, 2-OXOBUTANOATE

